id;Full Name;Title;Genre;isLoaned;isReviewed;ratedAt
1;Chinua Achebe;O lume se destrama;P29_ENGLISH_LITERATURE;1;0;I
2;Chiril Tricolici;Calimera;P29_ENGLISH_LITERATURE;0;1;II
3;Chiril Tricolici;Calimera;P29_ENGLISH_LITERATURE;1;1;III
4;Chiril Tricolici;Placerile jocului;P29_ENGLISH_LITERATURE;0;0;IV
5;Chiril Tricolici;Rolls Royce;P40_LOVE_ROMANTIC;1;0;V
6;Chiril Tricolici;Un dolar, doi dolari. Valetul de trefla;P20_DRAMA;0;0;I
7;Chloe Esposito;Nebuna, Rea si Periculoasa;P42_THRILLER;0;0;II
8;Chloe Esposito;Nebuna, rea si periculoasa;P42_THRILLER;0;0;III
9;Chloe Neil;Elita Intunecata;P29_ENGLISH_LITERATURE;1;0;IV
10;Chloe Neil;Elita Intunecata;P29_ENGLISH_LITERATURE;0;1;V
11;Chretien de Troyes;Cavalerul Lancelot;P41_ADVENTURE;0;1;I
12;Chretien de Troyes;Yvain cavalerul cu leul;P41_ADVENTURE;0;1;II
13;Chris Bohjalian;Dubla constrangere;P29_ENGLISH_LITERATURE;0;1;III
14;Chris Bunch & Alan Cole;Rafuiala regilor;P43_ACTION;1;0;IV
15;Chris Bunch & Alan Cole;Rafuiala regilor;P43_ACTION;1;0;V
16;Chris Buster Morris;Pagoda musonului;P43_ACTION;1;1;I
17;Chris Buster Morris;Pagoda musonului;P43_ACTION;1;1;II
18;Chris Buster Morris;Sindromul Tirpitz;P43_ACTION;0;1;III
19;Chris Buster Morris;Sindromul Tirpitz08 ;P43_ACTION;0;1;IV
20;Chris Carter;Francezul;P20_DRAMA;0;1;V
21;Chris Carter;Francezul09 ;P20_DRAMA;0;1;I
22;Chris Kuzneski;Semnul crucii;P41_ADVENTURE;1;1;II
23;Chris Kuzneski;Semnul crucii;P41_ADVENTURE;1;1;III
24;Chris Kyle;Lunetistul american;P43_ACTION;1;1;IV
25;Chris Kyle;Lunetistul american;P43_ACTION;1;1;V
26;Chris Morgan;Inaltarea de pe Alkaid ;P29_ENGLISH_LITERATURE;1;1;I
27;Chris Morgan;Inaltarea de pe Alkaid 09 ;P29_ENGLISH_LITERATURE;1;1;II
28;Chris Pavone;Expatriatii;P42_THRILLER;1;0;III
29;Chris Pavone;Expatriatii;P42_THRILLER;1;1;IV
30;Chris Prentiss;Zen si arta fericirii ;BL3_RELIGIONS_OF_THE_WORLD;1;1;I
31;Chris Prentiss;Zen si arta fericirii ;BL3_RELIGIONS_OF_THE_WORLD;1;1;II
32;Christel Zachert & Isabell Zachert;Ne revedem In paradisul meu;P29_ENGLISH_LITERATURE;1;1;III
33;Christel Zachert & Isabell Zachert;Ne revedem In paradisul meu;P29_ENGLISH_LITERATURE;1;1;IV
